City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bethel,US,75.99,Clouds,41.37,-73.41,Courtyard by Marriott Danbury
8,Santa Cruz,BO,86.0,Clear,-17.8,-63.17,Hotel Cortez
14,Jamestown,US,75.0,Clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
15,Port Alfred,ZA,76.42,Clear,-33.59,26.89,The Halyards Hotel
21,Oistins,BB,87.8,Rain,13.07,-59.53,Butterfly Beach Hotel
23,Namibe,AO,75.2,Clouds,-15.2,12.15,Hotel Chik Chik Namibe
24,Tateyama,JP,78.01,Clouds,34.98,139.87,Tateyama Seaside Hotel
31,Pochutla,MX,87.01,Clouds,15.74,-96.47,Hotel Posada San Jose
34,Ixtapa,MX,82.4,Clouds,20.7,-105.2,Container Inn Puerto Vallarta
35,Saldanha,ZA,77.0,Clear,-33.01,17.94,Blue Bay Lodge
40,Saint George,US,89.01,Clear,37.1,-113.58,Best Western Plus Abbey Inn
43,Paraiso,CR,82.4,Clouds,9.84,-83.87,Hotel Rio Perlas Spa and Resort
46,Butaritari,KI,81.81,Clouds,3.07,172.79,Isles Sunset Lodge
47,Atuona,PF,78.46,Clear,-9.8,-139.03,Villa Enata
53,Guantanamo,CU,87.01,Clouds,20.14,-75.21,Hotel Marti
64,Salalah,OM,82.4,Clouds,17.02,54.09,HAMDAN PLAZA HOTEL
68,Wattegama,LK,80.6,Clouds,6.8,81.48,
73,San Marcos,US,80.01,Mist,33.14,-117.17,Hampton Inn San Marcos
75,Caravelas,BR,76.73,Clouds,-17.71,-39.25,Pousada dos Navegantes
78,Avera,US,89.6,Clear,33.19,-82.53,
80,Albany,US,77.0,Clouds,42.6,-73.97,
84,Coronon,PH,78.8,Rain,6.88,125.45,Sanjo Navarro Boarding House
85,Nouadhibou,MR,78.8,Clear,20.93,-17.03,El Medina
86,Martapura,ID,78.8,Clouds,-3.42,114.85,Montana Hotel Syariah
88,Bubaque,GW,81.05,Rain,11.28,-15.83,Casa Dora
89,Tura,IN,79.9,Clouds,25.52,90.22,Hotel RIKMAN Continental
