City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Olafsvik,IS,64.89,-23.71,48.65,83,96,19.95,Clouds
1,Ushuaia,AR,-54.8,-68.3,42.8,70,40,10.29,Clouds
2,Zhigansk,RU,66.77,123.37,57.15,58,31,11.79,Clouds
3,Bethel,US,41.37,-73.41,75.99,88,90,4.7,Clouds
4,Hilo,US,19.73,-155.09,71.6,78,75,4.7,Clouds
5,Rikitea,PF,-23.12,-134.97,72.57,76,53,11.54,Clouds
6,Palaia Fokaia,GR,37.72,23.95,93.0,31,20,20.8,Clouds
7,Busselton,AU,-33.65,115.33,48.0,98,42,8.12,Rain
8,Santa Cruz,BO,-17.8,-63.17,86.0,39,0,14.99,Clear
9,Husavik,IS,66.04,-17.34,55.4,76,90,11.41,Clouds
10,Cape Town,ZA,-33.93,18.42,73.99,59,0,11.41,Clear
11,Nizwa,OM,22.93,57.53,103.35,23,23,5.55,Clouds
12,Ancud,CL,-41.87,-73.82,50.0,81,17,6.93,Clouds
13,Thompson,CA,55.74,-97.86,68.0,56,5,2.24,Clear
14,Jamestown,US,42.1,-79.24,75.0,94,90,11.41,Clouds
15,Port Alfred,ZA,-33.59,26.89,76.42,29,0,5.73,Clear
16,Bluff,NZ,-46.6,168.33,47.21,93,70,4.94,Clouds
17,Bredasdorp,ZA,-34.53,20.04,69.8,52,0,8.05,Clear
18,Asau,RO,46.43,26.4,72.0,52,25,4.9,Clouds
19,Castro,BR,-24.79,-50.01,65.77,54,4,7.27,Clear
20,Coihaique,CL,-45.58,-72.07,44.6,70,20,3.36,Clouds
21,Oistins,BB,13.07,-59.53,87.8,70,40,12.75,Rain
22,Pont-Audemer,FR,49.35,0.52,73.0,55,48,8.05,Clouds
23,Namibe,AO,-15.2,12.15,75.2,69,75,11.41,Clouds
24,Tateyama,JP,34.98,139.87,78.01,100,43,5.97,Clouds
25,Atambua,ID,-9.11,124.89,66.63,88,59,5.23,Clouds
26,Sitka,US,57.05,-135.33,57.2,93,90,3.36,Rain
27,Barrow,US,71.29,-156.79,35.6,86,90,11.41,Clouds
28,Hermanus,ZA,-34.42,19.23,66.0,68,0,1.01,Clear
29,College,US,64.86,-147.8,59.0,87,75,5.82,Rain
30,Mataura,NZ,-46.19,168.86,47.39,95,62,3.02,Clouds
31,Pochutla,MX,15.74,-96.47,87.01,66,75,2.46,Clouds
32,Mosquera,CO,4.71,-74.23,64.4,31,20,11.41,Clouds
33,Farso,DK,56.77,9.34,66.0,87,41,11.99,Clouds
34,Ixtapa,MX,20.7,-105.2,82.4,78,40,3.36,Clouds
35,Saldanha,ZA,-33.01,17.94,77.0,25,0,5.82,Clear
36,Kodiak,US,57.79,-152.41,51.8,87,90,4.0,Clouds
37,Punta Arenas,CL,-53.15,-70.92,41.0,80,68,23.04,Clouds
38,Pyshchug,RU,58.89,45.71,61.0,75,100,4.88,Rain
39,Saint-Philippe,RE,-21.36,55.77,69.8,64,90,11.41,Clouds
40,Saint George,US,37.1,-113.58,89.01,18,1,2.06,Clear
41,Mar Del Plata,AR,-38.0,-57.56,57.99,67,100,6.93,Clouds
42,Bilibino,RU,68.05,166.44,39.81,86,88,2.75,Clouds
43,Paraiso,CR,9.84,-83.87,82.4,54,20,10.29,Clouds
44,Nemuro,JP,43.32,145.57,63.37,94,95,12.3,Clouds
45,Portland,US,45.52,-122.68,66.99,82,90,2.1,Clouds
46,Butaritari,KI,3.07,172.79,81.81,77,36,16.71,Clouds
47,Atuona,PF,-9.8,-139.03,78.46,77,2,18.63,Clear
48,Arlit,NE,18.74,7.39,100.08,27,14,9.08,Clouds
49,Chuy,UY,-33.7,-53.46,63.66,75,100,9.82,Clouds
50,Kargopol,RU,61.51,38.95,58.5,87,1,4.32,Rain
51,Hobart,AU,-42.88,147.33,46.4,75,75,10.29,Rain
52,Whitehorse,CA,60.72,-135.05,53.6,71,75,10.29,Clouds
53,Guantanamo,CU,20.14,-75.21,87.01,74,75,3.36,Clouds
54,Bambous Virieux,MU,-20.34,57.76,71.6,68,75,16.11,Rain
55,Mahebourg,MU,-20.41,57.7,71.6,68,75,16.11,Rain
56,Necochea,AR,-38.55,-58.74,55.0,78,100,10.0,Clouds
57,Mount Isa,AU,-20.73,139.5,51.8,53,0,2.24,Clear
58,Vitina,BA,43.24,17.48,96.8,20,0,9.17,Clear
59,Anadyr,RU,64.75,177.48,48.2,87,75,5.93,Clouds
