City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lorengau,PG,2020-08-01 15:33:25,-2.02,147.27,300.05,83,100,4.78
1,Bambous Virieux,MU,2020-08-01 15:33:25,-20.34,57.76,296.15,78,75,4.6
2,Punta Arenas,CL,2020-08-01 15:33:26,-53.15,-70.92,276.15,93,75,2.1
3,Vestmannaeyjar,IS,2020-08-01 15:33:26,63.44,-20.27,287.15,87,40,6.7
4,Mataura,NZ,2020-08-01 15:33:26,-46.19,168.86,281.86,86,73,2.05
5,Knysna,ZA,2020-08-01 15:33:26,-34.04,23.05,288.15,82,0,4.1
6,San Carlos,VE,2020-08-01 15:33:26,9.66,-68.58,301.32,75,13,2.5
7,Rikitea,PF,2020-08-01 15:33:26,-23.12,-134.97,296.06,81,100,2.3
8,Qaanaaq,GL,2020-08-01 15:33:26,77.48,-69.36,277.43,69,27,3.09
9,Yellowknife,CA,2020-08-01 15:33:26,62.46,-114.35,293.71,72,75,5.7
10,Kapaa,US,2020-08-01 15:33:26,22.08,-159.32,299.15,74,75,5.7
11,Nikolskoye,RU,2020-08-01 15:33:27,59.7,30.79,292.15,42,0,4.0
12,Aykhal,RU,2020-08-01 15:33:27,66.0,111.5,290.15,51,0,3.0
13,Sosnovo-Ozerskoye,RU,2020-08-01 15:33:27,52.52,111.54,288.21,97,100,4.45
14,Zaraza,VE,2020-08-01 15:33:27,9.35,-65.32,300.93,88,98,1.96
15,Port Alfred,ZA,2020-08-01 15:33:27,-33.59,26.89,288.5,74,0,1.32
16,Cidreira,BR,2020-08-01 15:33:27,-30.18,-50.21,291.49,63,0,2.77
17,Upernavik,GL,2020-08-01 15:33:27,72.79,-56.15,279.23,64,11,5.76
18,Oktyabrskiy,RU,2020-08-01 15:33:27,54.48,53.47,292.55,89,100,4.39
19,Grindavik,IS,2020-08-01 15:33:27,63.84,-22.43,286.15,82,75,5.7
20,Hermanus,ZA,2020-08-01 15:33:27,-34.42,19.23,289.26,70,0,2.68
21,Jamestown,US,2020-08-01 15:30:45,42.1,-79.24,297.04,69,1,4.1
22,Khatanga,RU,2020-08-01 15:33:28,71.97,102.5,292.58,57,100,3.73
23,Hithadhoo,MV,2020-08-01 15:33:28,-0.6,73.08,301.67,73,69,4.33
24,Bredasdorp,ZA,2020-08-01 15:33:28,-34.53,20.04,291.15,59,0,3.6
25,Kenai,US,2020-08-01 15:33:28,60.55,-151.26,287.15,93,90,2.6
26,Banjar,ID,2020-08-01 15:33:28,-8.19,114.97,298.15,83,20,4.1
27,Chuy,UY,2020-08-01 15:33:28,-33.7,-53.46,288.52,69,19,2.45
28,Kahului,US,2020-08-01 15:33:28,20.89,-156.47,297.15,69,1,3.6
29,Albany,US,2020-08-01 15:30:02,42.6,-73.97,302.04,47,19,1.65
30,Marrakesh,MA,2020-08-01 15:32:32,31.63,-8.01,313.15,24,40,5.1
31,Atuona,PF,2020-08-01 15:33:28,-9.8,-139.03,299.35,72,60,7.7
32,Santarem,BR,2020-08-01 15:31:02,-2.44,-54.71,308.13,34,31,2.52
33,Huadian,CN,2020-08-01 15:33:28,42.96,126.75,294.33,86,53,0.78
34,Ushuaia,AR,2020-08-01 15:33:28,-54.8,-68.3,278.15,93,40,1.87
35,Tuktoyaktuk,CA,2020-08-01 15:33:29,69.45,-133.04,285.15,100,90,8.2
36,Mascali,IT,2020-08-01 15:33:29,37.76,15.2,307.15,34,24,3.1
37,Marzuq,YE,2020-08-01 15:33:29,14.4,46.47,300.2,58,1,5.21
38,Bengkulu,ID,2020-08-01 15:33:29,-3.8,102.27,297.37,89,61,2.9
39,Kankan,GN,2020-08-01 15:33:29,10.39,-9.31,302.1,70,42,1.51
40,Hobart,AU,2020-08-01 15:33:29,-42.88,147.33,286.15,58,26,5.7
41,Belaya Gora,RU,2020-08-01 15:33:29,68.53,146.42,281.63,85,24,2.09
42,La Ronge,CA,2020-08-01 15:33:29,55.1,-105.28,293.15,72,5,2.6
43,Bluff,NZ,2020-08-01 15:33:29,-46.6,168.33,284.39,79,98,5.74
44,Butaritari,KI,2020-08-01 15:33:30,3.07,172.79,301.21,80,86,6.02
45,Busselton,AU,2020-08-01 15:33:30,-33.65,115.33,282.04,79,78,1.38
46,Boyle,US,2020-08-01 15:33:30,37.63,-84.87,300.15,74,75,3.6
47,Atok,PH,2020-08-01 15:33:30,16.57,120.68,289.18,100,100,1.28
48,Talnakh,RU,2020-08-01 15:33:30,69.49,88.4,290.15,72,87,6.0
49,Caravelas,BR,2020-08-01 15:33:30,-17.71,-39.25,295.73,78,43,3.78
50,Vaini,TO,2020-08-01 15:33:30,-21.2,-175.2,293.15,88,75,3.6
51,Port Augusta,AU,2020-08-01 15:33:30,-32.5,137.77,283.15,53,100,3.6
52,Mar Del Plata,AR,2020-08-01 15:32:43,-38.0,-57.56,285.15,71,75,3.1
53,Cherskiy,RU,2020-08-01 15:33:30,68.75,161.3,277.52,88,85,3.97
